GEOID,County,variable,estimate,moe,CV
19001,Adair,B18140_002,26536,3540,High reliability
19003,Adams,B18140_002,27031,21730,Low reliability
19005,Allamakee,B18140_002,20900,4549,High reliability
19007,Appanoose,B18140_002,15288,7178,Median reliability
19009,Audubon,B18140_002,20250,11896,Low reliability
19011,Benton,B18140_002,24651,4046,High reliability
19013,Black Hawk,B18140_002,19277,3681,High reliability
19015,Boone,B18140_002,27724,11654,Median reliability
19017,Bremer,B18140_002,21182,8255,Median reliability
19019,Buchanan,B18140_002,21574,10185,Median reliability
19021,Buena Vista,B18140_002,21585,3431,High reliability
19023,Butler,B18140_002,22417,8077,Median reliability
19025,Calhoun,B18140_002,14327,12257,Low reliability
19027,Carroll,B18140_002,24479,9705,Median reliability
19029,Cass,B18140_002,16953,5338,Median reliability
19031,Cedar,B18140_002,20962,13765,Low reliability
19033,Cerro Gordo,B18140_002,22899,9294,Median reliability
19035,Cherokee,B18140_002,9149,3402,Median reliability
19037,Chickasaw,B18140_002,25250,11714,Median reliability
19039,Clarke,B18140_002,20846,15008,Low reliability
19041,Clay,B18140_002,15614,4217,Median reliability
19043,Clayton,B18140_002,18125,8186,Median reliability
19045,Clinton,B18140_002,13082,2939,High reliability
19047,Crawford,B18140_002,33179,5889,High reliability
19049,Dallas,B18140_002,24918,5479,High reliability
19051,Davis,B18140_002,18750,15093,Low reliability
19053,Decatur,B18140_002,17750,9049,Low reliability
19055,Delaware,B18140_002,21964,19228,Low reliability
19057,Des Moines,B18140_002,14343,5236,Median reliability
19059,Dickinson,B18140_002,26289,7594,Median reliability
19061,Dubuque,B18140_002,14389,2809,High reliability
19063,Emmet,B18140_002,23519,4764,High reliability
19065,Fayette,B18140_002,16558,2971,High reliability
19067,Floyd,B18140_002,22985,7609,Median reliability
19069,Franklin,B18140_002,16250,9299,Low reliability
19071,Fremont,B18140_002,20000,9845,Median reliability
19073,Greene,B18140_002,23651,9683,Median reliability
19075,Grundy,B18140_002,27353,11241,Median reliability
19077,Guthrie,B18140_002,27083,12297,Median reliability
19079,Hamilton,B18140_002,29212,7049,High reliability
19081,Hancock,B18140_002,24138,8191,Median reliability
19083,Hardin,B18140_002,14722,2638,High reliability
19085,Harrison,B18140_002,35000,8070,High reliability
19087,Henry,B18140_002,31364,8325,Median reliability
19089,Howard,B18140_002,19444,15385,Low reliability
19091,Humboldt,B18140_002,31250,4117,High reliability
19093,Ida,B18140_002,20913,2264,High reliability
19095,Iowa,B18140_002,21433,7538,Median reliability
19097,Jackson,B18140_002,26603,2539,High reliability
19099,Jasper,B18140_002,20425,6639,Median reliability
19101,Jefferson,B18140_002,20498,3545,High reliability
19103,Johnson,B18140_002,19063,5488,Median reliability
19105,Jones,B18140_002,20188,15453,Low reliability
19107,Keokuk,B18140_002,18798,3695,High reliability
19109,Kossuth,B18140_002,23294,2663,High reliability
19111,Lee,B18140_002,21645,8153,Median reliability
19113,Linn,B18140_002,19399,2911,High reliability
19115,Louisa,B18140_002,19375,7675,Median reliability
19117,Lucas,B18140_002,13233,5419,Median reliability
19119,Lyon,B18140_002,38000,19319,Low reliability
19121,Madison,B18140_002,20684,6075,Median reliability
19123,Mahaska,B18140_002,12052,1972,High reliability
19125,Marion,B18140_002,17844,5526,Median reliability
19127,Marshall,B18140_002,17295,6205,Median reliability
19129,Mills,B18140_002,18504,6613,Median reliability
19131,Mitchell,B18140_002,20652,7148,Median reliability
19133,Monona,B18140_002,27500,10430,Median reliability
19135,Monroe,B18140_002,34375,8683,Median reliability
19137,Montgomery,B18140_002,23684,10612,Median reliability
19139,Muscatine,B18140_002,24943,6479,Median reliability
19141,O'Brien,B18140_002,15268,2797,High reliability
19143,Osceola,B18140_002,27813,8793,Median reliability
19145,Page,B18140_002,17974,5756,Median reliability
19147,Palo Alto,B18140_002,22404,10612,Median reliability
19149,Plymouth,B18140_002,30300,4295,High reliability
19151,Pocahontas,B18140_002,24250,12336,Low reliability
19153,Polk,B18140_002,25500,2009,High reliability
19155,Pottawattamie,B18140_002,23418,2247,High reliability
19157,Poweshiek,B18140_002,13764,1379,High reliability
19159,Ringgold,B18140_002,23333,12671,Low reliability
19161,Sac,B18140_002,25313,10276,Median reliability
19163,Scott,B18140_002,26327,4089,High reliability
19165,Shelby,B18140_002,16880,1304,High reliability
19167,Sioux,B18140_002,19391,4808,Median reliability
19169,Story,B18140_002,14371,2891,High reliability
19171,Tama,B18140_002,18438,9616,Low reliability
19173,Taylor,B18140_002,27847,11069,Median reliability
19175,Union,B18140_002,12766,2361,High reliability
19177,Van Buren,B18140_002,15688,4168,Median reliability
19179,Wapello,B18140_002,25990,5299,High reliability
19181,Warren,B18140_002,27125,5202,High reliability
19183,Washington,B18140_002,27944,4490,High reliability
19185,Wayne,B18140_002,23036,7291,Median reliability
19187,Webster,B18140_002,21527,3632,High reliability
19189,Winnebago,B18140_002,13199,6337,Median reliability
19191,Winneshiek,B18140_002,22393,8445,Median reliability
19193,Woodbury,B18140_002,19216,4147,High reliability
19195,Worth,B18140_002,30846,6306,High reliability
19197,Wright,B18140_002,13125,12519,Low reliability
